window,specification,aggregation,index,endpoint,association,common_support_association,paired_delta_chla_minus_cyano,n_rows,n_estimable_weirs,n_common_weirs,n_cells,singleton_cells,cells_le_2,median_cell_size,full_ci_low,full_ci_high,full_finite_draws,common_ci_low,common_ci_high,common_finite_draws,delta_ci_low,delta_ci_high,delta_finite_draws,bootstrap_draws,bootstrap_seed,p_method
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.15670122087746152,0.18147512503732843,0.082052104623607833,1385,16,13,111,14,15,12,0.10052508006222964,0.2094075094709682,3000,0.1234975525164009,0.23307711641663431,3000,-0.0054831693045439313,0.17435188181276406,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.0994230204137206,0.0994230204137206,0.082052104623607833,1385,13,13,111,14,15,12,0.020859859230918019,0.17319571336766132,3000,0.022476876805603781,0.17397444784602761,3000,-0.0054831693045439313,0.17435188181276406,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,chlorophyll_a,0.36415630803261878,0.36111809150175811,0.18986737986979119,1385,16,13,111,14,15,12,0.30243302664737864,0.42213003770183105,3000,0.29655554168579484,0.41975356745373588,3000,0.11315052625860476,0.26871292761981103,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_observation,ndci,harmful_cyanobacteria,0.17125071163196692,0.17125071163196692,0.18986737986979119,1385,13,13,111,14,15,12,0.097196629089375722,0.24388443729235129,3000,0.096566873202278164,0.24799062198852881,3000,0.11315052625860476,0.26871292761981103,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,chlorophyll_a,0.15735313666268949,0.16584746054147317,0.075279814182763069,1385,16,13,111,14,15,12,0.11206353879544428,0.20146171567376417,3000,0.12114234867215289,0.21693167360425356,3000,-0.0058755502789298265,0.17057910209643937,3000,3000,20260815,not_computed_ci_primary
pm3_2017_2025,site_by_calendar_month_pearson,equal_per_observation,fai,harmful_cyanobacteria,0.090567646358710105,0.090567646358710105,0.075279814182763069,1385,13,13,111,14,15,12,0.014836724380127285,0.16561116063588696,3000,0.018131157781531723,0.16863064230012809,3000,-0.0058755502789298265,0.17057910209643937,3000,3000,20260815,not_computed_ci_primary
pm1_2019_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,chlorophyll_a,0.49644033130743725,0.46082437871073278,0.10504355267832111,680,16,13,102,10,20,6,0.42756895039882242,0.56083204029788691,3000,0.38777875285855823,0.53003462196941231,3000,-0.018445147910926538,0.27584575792823646,3000,3000,20260815,not_computed_ci_primary
pm1_2019_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,0.35578082603241168,0.35578082603241168,0.10504355267832111,680,13,13,102,10,20,6,0.20170433604845608,0.49018379831558956,3000,0.18930622243862549,0.487072870786393,3000,-0.018445147910926538,0.27584575792823646,3000,3000,20260815,not_computed_ci_primary
pm1_2019_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,chlorophyll_a,0.22335822146277554,0.21264149250531009,0.033713846221039512,680,16,13,102,10,20,6,0.1234793475642539,0.32030805353261588,3000,0.091817041975444838,0.33390722472637036,3000,-0.15207772513936316,0.261777780782326,3000,3000,20260815,not_computed_ci_primary
pm1_2019_2025,raw_within_weir_pearson,equal_per_weir_fisher_z,fai,harmful_cyanobacteria,0.17892764628427058,0.17892764628427058,0.033713846221039512,680,13,13,102,10,20,6,0.048309592349567276,0.30541685263033352,3000,0.040174163706310759,0.31039894056933581,3000,-0.15207772513936316,0.261777780782326,3000,3000,20260815,not_computed_ci_primary
