window,specification,aggregation,index,endpoint,omitted_weir,association,estimable,n_estimable_weirs,n_common_weirs,common_support_association,paired_delta_chla_minus_cyano,is_endpoint_contrast
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Sangju Weir,0.17302466248421819,True,15,12,0.17457387056254997,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Sangju Weir,0.20423282489472047,True,12,12,0.20423282489472047,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Sejong Weir,0.15628353753380717,True,15,12,0.15718083356026535,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Sejong Weir,0.21140860266232106,True,12,12,0.21140860266232106,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Seungchon Weir,0.19299187316466798,True,15,12,0.19537000237983015,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Seungchon Weir,0.20339515576687367,True,12,12,0.20339515576687367,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,chlorophyll_a,Yeoju Weir,0.17595808993597942,True,15,13,0.17752070487728197,,False
pm1_2017_2025,raw_within_weir_pearson,equal_per_observation,fai,harmful_cyanobacteria,Yeoju Weir,0.19477378329079387,True,13,13,0.19477378329079387,,False
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Baekje Weir,0.4997640363201889,True,15,12,0.47131887547479978,0.041893111765474833,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Baekje Weir,0.42942576370932495,True,12,12,0.42942576370932495,0.041893111765474833,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Changnyeong-Haman Weir,0.48504291084120738,True,15,12,0.4522078026024276,0.041460480093674867,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Changnyeong-Haman Weir,0.41074732250875273,True,12,12,0.41074732250875273,0.041460480093674867,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Chilgok Weir,0.49714253168200834,True,15,12,0.46792029091122123,0.061886733502210689,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Chilgok Weir,0.40603355740901054,True,12,12,0.40603355740901054,0.061886733502210689,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Dalseong Weir,0.49057588255497431,True,15,12,0.45939809858028269,0.060211066649136613,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Dalseong Weir,0.39918703193114607,True,12,12,0.39918703193114607,0.060211066649136613,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gangcheon Weir,0.49145756403241458,True,15,13,0.47064906030764497,0.047288250186800496,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gangcheon Weir,0.42336081012084448,True,13,13,0.42336081012084448,0.047288250186800496,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gangjeong-Goryeong Weir,0.48621765787325061,True,15,12,0.45373514085219763,0.058856030162409589,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gangjeong-Goryeong Weir,0.39487911068978804,True,12,12,0.39487911068978804,0.058856030162409589,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gongju Weir,0.50889807015785771,True,15,12,0.48314359642451504,0.026212410514808882,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gongju Weir,0.45693118590970616,True,12,12,0.45693118590970616,0.026212410514808882,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Gumi Weir,0.50706731962061058,True,15,12,0.48077570261707475,0.048834974202745574,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Gumi Weir,0.43194072841432918,True,12,12,0.43194072841432918,0.048834974202745574,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Hapcheon-Changnyeong Weir,0.49580961010800989,True,15,12,0.4661914582546367,0.052143470367753963,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Hapcheon-Changnyeong Weir,0.41404798788688274,True,12,12,0.41404798788688274,0.052143470367753963,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Ipo Weir,0.48024731377721219,True,15,13,0.47064906030764497,0.047288250186800496,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Ipo Weir,0.42336081012084448,True,13,13,0.42336081012084448,0.047288250186800496,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Juksan Weir,0.50739034070596511,True,15,12,0.48119357835849852,0.065912267776560618,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Juksan Weir,0.4152813105819379,True,12,12,0.4152813105819379,0.065912267776560618,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Nakdan Weir,0.49885730816016804,True,15,12,0.47014360809585648,0.037686838827315106,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,harmful_cyanobacteria,Nakdan Weir,0.43245676926854137,True,12,12,0.43245676926854137,0.037686838827315106,True
pm1_2017_2025,within_weir_percentile_midrank,equal_per_weir_fisher_z,ndci,chlorophyll_a,Sangju Weir,0.50250362789739678,True,15,12,0.47486828231708023,0.050738418021095466,True
