site,date,component_rows,scene_ids,product_ids,tiles,utc_timestamps,ndci_component_values,ndci_component_counts,ndci_weighted_numerator,ndci_valid_pixels,ndci_mean,fai_component_values,fai_component_counts,fai_weighted_numerator,fai_valid_pixels,fai_mean
Baekje Weir,2021-05-02,2,20210502T021601_20210502T022719_T52SBF|20210502T021601_20210502T022719_T52SCF,S2A_MSIL2A_20210502T021601_N0300_R003_T52SBF_20210502T041531|S2A_MSIL2A_20210502T021601_N0300_R003_T52SCF_20210502T041531,52SBF|52SCF,2021-05-02T02:27:30.087000+00:00|2021-05-02T02:27:28.195000+00:00,0.038091750290708902|0.037827915776169098,1600|7970,362.43528920120195,9570,0.037872026039833015,0.021449959118194799|0.0063229498888805,1600|7970,84.713845203489257,9570,0.0088520214423708724
Baekje Weir,2021-05-22,2,20210522T021601_20210522T022207_T52SBF|20210522T021601_20210522T022207_T52SCF,S2A_MSIL2A_20210522T021601_N0500_R003_T52SBF_20230224T233603|S2A_MSIL2A_20210522T021601_N0500_R003_T52SCF_20230224T233603,52SBF|52SCF,2021-05-22T02:27:31.181000+00:00|2021-05-22T02:27:27.417000+00:00,-0.0027709010748065998|0.084858614293744999,2227|10510,885.69323953366563,12737,0.069537036942267857,-0.014790652710305999|-0.0021497287467092999,2227|10510,-55.532432713766198,12737,-0.0043599303378948099
Baekje Weir,2021-06-21,2,20210621T021601_20210621T022255_T52SBF|20210621T021601_20210621T022255_T52SCF,S2A_MSIL2A_20210621T021601_N0300_R003_T52SBF_20210621T050048|S2A_MSIL2A_20210621T021601_N0300_R003_T52SCF_20210621T050048,52SBF|52SCF,2021-06-21T02:27:31.423000+00:00|2021-06-21T02:27:27.664000+00:00,0.057775634236456701|0.123360522733513,2227|10510,1425.1854313738106,12737,0.11189333684335484,0.0045298003378230001|-0.0028219677672936001,2227|10474,-19.469425042301346,12701,-0.0015329048927093414
Baekje Weir,2021-07-16,1,20210716T021609_20210716T022506_T52SBF,S2B_MSIL2A_20210716T021609_N0301_R003_T52SBF_20210716T045806,52SBF,2021-07-16T02:27:32.746000+00:00,0.15883175330337679,1854,294.47407062446058,1854,0.15883175330337679,0.0622459594959026,1854,115.40400890540342,1854,0.0622459594959026
Baekje Weir,2021-07-26,2,20210726T021609_20210726T021605_T52SBF|20210726T021609_20210726T021605_T52SCF,S2B_MSIL2A_20210726T021609_N0301_R003_T52SBF_20210726T043052|S2B_MSIL2A_20210726T021609_N0301_R003_T52SCF_20210726T043052,52SBF|52SCF,2021-07-26T02:27:32.668000+00:00|2021-07-26T02:27:28.907000+00:00,0.1789820054004112|0.23519411367437409,2227|10510,2870.4830607443873,12737,0.22536571097938191,0.065661824923265499|0.0154425500774999,2227|10507,308.48375776840373,12734,0.024225204787843863
Baekje Weir,2021-07-31,2,20210731T021611_20210731T022724_T52SBF|20210731T021611_20210731T022724_T52SCF,S2A_MSIL2A_20210731T021611_N0301_R003_T52SBF_20210731T041630|S2A_MSIL2A_20210731T021611_N0301_R003_T52SCF_20210731T041630,52SBF|52SCF,2021-07-31T02:27:35.278000+00:00|2021-07-31T02:27:33.384000+00:00,0.1017719240891975|0.116428670525022,1675|4668,713.95700686020848,6343,0.11255825427403571,0.035487969991313199|0.032558478343665098,1675|4668,211.42532664367826,6343,0.033332071045826625
Baekje Weir,2021-08-05,2,20210805T021609_20210805T021604_T52SBF|20210805T021609_20210805T021604_T52SCF,S2B_MSIL2A_20210805T021609_N0301_R003_T52SBF_20210805T043604|S2B_MSIL2A_20210805T021609_N0301_R003_T52SCF_20210805T043604,52SBF|52SCF,2021-08-05T02:27:31.976000+00:00|2021-08-05T02:27:28.214000+00:00,0.171115322970427|0.1698268836949893,2227|10358,2140.1406855678401,12585,0.17005488165020582,0.0704831495247039|0.022793061933407001,2227|10355,392.9881303119451,12582,0.031234154372273493
Baekje Weir,2021-08-10,1,20210810T021611_20210810T022723_T52SBF,S2A_MSIL2A_20210810T021611_N0301_R003_T52SBF_20210810T043028,52SBF,2021-08-10T02:27:34.451000+00:00,0.17600758725850149,2227,391.96889682468282,2227,0.17600758725850149,0.10229861628199829,2227,227.8190184600102,2227,0.10229861628199829
Baekje Weir,2021-08-15,2,20210815T021609_20210815T022417_T52SBF|20210815T021609_20210815T022417_T52SCF,S2B_MSIL2A_20210815T021609_N0500_R003_T52SBF_20230213T053049|S2B_MSIL2A_20210815T021609_N0301_R003_T52SCF_20210815T045832,52SBF|52SCF,2021-08-15T02:27:30.784000+00:00|2021-08-15T02:27:27.025000+00:00,0.26130256331294488|0.14615296676093761,2227|10510,2117.9884891553825,12737,0.16628629105404588,0.10378978035754741|0.031663643980873298,2227|10510,563.92473909523642,12737,0.044274533963667775
Baekje Weir,2021-09-19,2,20210919T021611_20210919T022209_T52SBF|20210919T021611_20210919T022209_T52SCF,S2A_MSIL2A_20210919T021611_N0301_R003_T52SBF_20210919T051646|S2A_MSIL2A_20210919T021611_N0301_R003_T52SCF_20210919T051646,52SBF|52SCF,2021-09-19T02:27:33.012000+00:00|2021-09-19T02:27:29.250000+00:00,0.1792685338644017|0.1747395562618945,2227|10510,2235.7437612285339,12737,0.17553142507878888,0.0638200713103656|0.015075838710583,2227|10508,300.54421197899035,12735,0.023599859597879101
Baekje Weir,2021-09-24,1,20210924T021559_20210924T021601_T52SCF,S2B_MSIL2A_20210924T021559_N0301_R003_T52SCF_20210924T044840,52SCF,2021-09-24T02:27:24.939000+00:00,0.099732421911350094,10510,1048.1877542882894,10510,0.09973242191135008,0.0046462388529408,10488,48.729753089643111,10488,0.0046462388529408
